nivel,municipio,alumnos_por_docente
SECUNDARIA,SOYOPA,51.4
SECUNDARIA,NACO,44.1784126984127
SECUNDARIA,BENJAMÍN HILL,40.85
SECUNDARIA,SAHUARIPA,36.88333333333333
SECUNDARIA,PITIQUITO,33.09445887445887
SECUNDARIA,IMURIS,32.96705882352941
SECUNDARIA,MOCTEZUMA,31.149350649350648
SECUNDARIA,NACOZARI DE GARCÍA,30.993945868945865
SECUNDARIA,SAN JAVIER,30.3
SECUNDARIA,CANANEA,30.28235188506273
