nivel,municipio,alumnos_por_docente
PRIMARIA,ÓNAVAS,39.833333333333336
PRIMARIA,ONAVAS,36.5
PRIMARIA,OQUITOA,30.6
PRIMARIA,NACO,29.342687747035576
PRIMARIA,PUERTO PEÑASCO,28.30492972355319
PRIMARIA,ALAMOS,28.089619271205468
PRIMARIA,SAN LUIS RÍO COLORADO,28.006175809662636
PRIMARIA,AGUA PRIETA,27.43005481902262
PRIMARIA,NOGALES,27.31526086194352
PRIMARIA,SAN MIGUEL DE HORCASITAS,26.896579710144927
