municipio,nivel,PRIVADO,PÚBLICO,ratio_pub_priv
MAZATÁN,SECUNDARIA,0.0,392.0,392.0
DIVISADEROS,PRIMARIA,0.0,388.0,388.0
SÁRIC,PREESCOLAR,0.0,384.0,384.0
NÁCORI CHICO,SECUNDARIA,0.0,378.0,378.0
HUÁSABAS,PRIMARIA,0.0,361.0,361.0
BACERAC,SECUNDARIA,0.0,357.0,357.0
VILLA PESQUEIRA,PRIMARIA,0.0,353.0,353.0
TRINCHERAS,SECUNDARIA,0.0,351.0,351.0
SANTA CRUZ,PREESCOLAR,0.0,349.0,349.0
BACANORA,PRIMARIA,0.0,341.0,341.0
BACOACHI,SECUNDARIA,0.0,340.0,340.0
CUCURPE,PRIMARIA,0.0,334.0,334.0
SAN JAVIER,PRIMARIA,0.0,326.0,326.0
SUAQUI GRANDE,SECUNDARIA,0.0,322.0,322.0
SOYOPA,SECUNDARIA,0.0,321.0,321.0
TUBUTAMA,SECUNDARIA,0.0,321.0,321.0
TEPACHE,SECUNDARIA,0.0,318.0,318.0
RAYÓN,SECUNDARIA,0.0,308.0,308.0
HUACHINERA,SECUNDARIA,0.0,302.0,302.0
LA COLORADA,PREESCOLAR,0.0,292.0,292.0
NÁCORI CHICO,PREESCOLAR,0.0,289.0,289.0
ATIL,PRIMARIA,0.0,287.0,287.0
SAN PEDRO DE LA CUEVA,SECUNDARIA,0.0,282.0,282.0
OPODEPE,PREESCOLAR,0.0,280.0,280.0
ARIVECHI,SECUNDARIA,0.0,266.0,266.0
BACADÉHUACHI,SECUNDARIA,0.0,256.0,256.0
BANÁMICHI,SECUNDARIA,0.0,248.0,248.0
SOYOPA,PREESCOLAR,0.0,239.0,239.0
ÁLAMOS,INICIAL,0.0,236.0,236.0
CUCURPE,SECUNDARIA,0.0,226.0,226.0
TRINCHERAS,PREESCOLAR,0.0,223.0,223.0
BÁCUM,INICIAL,0.0,216.0,216.0
DIVISADEROS,SECUNDARIA,0.0,216.0,216.0
HUÉPAC,PREESCOLAR,0.0,214.0,214.0
SAN IGNACIO RÍO MUERTO,INICIAL,0.0,202.0,202.0
TUBUTAMA,PREESCOLAR,0.0,201.0,201.0
BACERAC,PREESCOLAR,0.0,196.0,196.0
RAYÓN,PREESCOLAR,0.0,192.0,192.0
BAVISPE,PREESCOLAR,0.0,191.0,191.0
VILLA HIDALGO,PREESCOLAR,0.0,189.0,189.0
SAN PEDRO DE LA CUEVA,PREESCOLAR,0.0,181.0,181.0
HUACHINERA,PREESCOLAR,0.0,174.0,174.0
BACOACHI,PREESCOLAR,0.0,170.0,170.0
SAN JAVIER,SECUNDARIA,0.0,168.0,168.0
ATIL,SECUNDARIA,0.0,166.0,166.0
SANTA ANA,SECUNDARIA,27.0,4239.0,157.0
OQUITOA,PRIMARIA,0.0,153.0,153.0
SAN FELIPE DE JESÚS,PRIMARIA,0.0,151.0,151.0
ALAMOS,INICIAL,0.0,149.0,149.0
ARIVECHI,PREESCOLAR,0.0,145.0,145.0
ÓNAVAS,PRIMARIA,0.0,144.0,144.0
HUATABAMPO,SECUNDARIA,132.0,18983.0,143.81060606060606
GRANADOS,PREESCOLAR,0.0,138.0,138.0
SAN MIGUEL DE HORCASITAS,INICIAL,0.0,130.0,130.0
BACANORA,PREESCOLAR,0.0,130.0,130.0
MAZATÁN,PREESCOLAR,0.0,126.0,126.0
SUAQUI GRANDE,PREESCOLAR,0.0,122.0,122.0
VILLA PESQUEIRA,PREESCOLAR,0.0,121.0,121.0
BACANORA,SECUNDARIA,0.0,117.0,117.0
TEPACHE,PREESCOLAR,0.0,116.0,116.0
