municipio,grado_promedio_escolaridad
SAN MIGUEL DE HORCASITAS,5.766883045413616
QUIRIEGO,5.87730083022261
BACANORA,6.414103782130584
ROSARIO,6.465731336909294
ONAVAS,6.603066152028471
SOYOPA,6.6330953714503815
TUBUTAMA,6.67004433261863
CUCURPE,6.670180877142857
SAN PEDRO DE LA CUEVA,6.710134539153976
LA COLORADA,6.765351487823692
