municipio,periodo,grado_promedio_escolaridad,poblacion_asiste_escuela,poblacion_total,porcentaje_alfabetas,total_viviendas_habitadas,viviendas_con_automovil,viviendas_con_internet
Banamichi,2020,9.35238095238095,371.0,1825.0,97.5947521865889,565.0,70.5673758865248,66.4893617021277
Baviacora,1995,,,3692.0,,866.0,,
Baviacora,2000,6.7,814.0,3724.0,94.7486871717929,973.0,,
Baviacora,2005,7.3,812.0,3404.0,,949.0,,
Baviacora,2010,7.68,880.0,3560.0,95.47,1051.0,,
Baviacora,2015,8.1866935,,,96.696212731668,1031.0,,12.427184
Baviacora,2020,8.67632850241546,690.0,3191.0,97.6650563607085,1040.0,68.8161693936477,44.9470644850818
Bavispe,1995,,,1396.0,,349.0,,
Bavispe,2000,6.0,303.0,1377.0,95.4298150163221,397.0,,
Bavispe,2005,6.3,303.0,1263.0,,355.0,,
Bavispe,2010,7.03,355.0,1454.0,96.51,419.0,,
Bavispe,2015,7.5069444,,,97.5296442687747,436.0,,2.293578
Bavispe,2020,7.71985815602837,251.0,1169.0,97.6359338061466,387.0,75.7105943152455,26.8733850129199
Benito Juarez,2000,6.8,5908.0,21813.0,91.9479606188467,5142.0,,
Benito Juarez,2005,7.4,6133.0,20447.0,,5075.0,,
Benito Juarez,2010,8.07,6146.0,22009.0,93.64,5643.0,,
Benito Juarez,2015,8.7138413,,,95.4429908859817,5857.0,,24.186922
Benito Juarez,2020,8.96561855347878,5253.0,21692.0,95.9156949554156,5986.0,47.5431829615965,32.5674995807479
Benjamin Hill,1995,,,6119.0,,1486.0,,
Benjamin Hill,2000,7.1,1512.0,5732.0,93.0625164864152,1413.0,,
Benjamin Hill,2005,7.9,1395.0,5285.0,,1445.0,,
Benjamin Hill,2010,8.29,1493.0,5275.0,95.52,1481.0,,
Benjamin Hill,2015,8.6809895,,,96.9106957424714,1629.0,,36.832413
Benjamin Hill,2020,9.11020629750271,1189.0,4988.0,97.1049783549784,1543.0,57.2632944228275,47.4708171206226
Caborca,1995,,,64605.0,,14501.0,,
Caborca,2000,7.3,18601.0,69516.0,93.7475542414888,16447.0,,
Caborca,2005,7.9,18787.0,70113.0,,18127.0,,
Caborca,2010,8.5,20823.0,81309.0,94.94,21415.0,,
Caborca,2015,9.1072487,,,96.0648109954295,24418.0,,38.092695
Caborca,2020,9.50923851324391,22168.0,89122.0,96.7727133680025,26298.0,70.3481941954922,57.049692994165
Cajeme,1995,,,345222.0,,78263.0,,
Cajeme,2000,8.7,103542.0,356290.0,96.2053204432607,85981.0,,
Cajeme,2005,9.3,108168.0,375800.0,,98479.0,,
Cajeme,2010,9.88,114003.0,409310.0,96.71,112398.0,,
Cajeme,2015,10.2618605,,,97.3038272725873,128490.0,,38.104133
Cajeme,2020,10.8046768111838,110019.0,436484.0,98.1171653786616,135701.0,58.8053446660322,58.8075580837705
Cananea,1995,,,29315.0,,7245.0,,
Cananea,2000,8.8,8794.0,32061.0,98.4333348922041,8228.0,,
Cananea,2005,9.2,8794.0,32157.0,,8785.0,,
Cananea,2010,9.68,9364.0,32936.0,97.99,9026.0,,
Cananea,2015,10.0936532,,,98.6106232681575,9850.0,,56.924176
