municipio,periodo,grado_promedio_escolaridad,poblacion_asiste_escuela,poblacion_total,porcentaje_alfabetas,total_viviendas_habitadas,viviendas_con_automovil,viviendas_con_internet
Santa Cruz,2005,7.1,379.0,1786.0,,474.0,,
Santa Cruz,2010,7.49,483.0,1998.0,97.32,551.0,,
Santa Cruz,2015,8.0178117,,,97.5506756756757,510.0,,23.425197
Santa Cruz,2020,8.5041888804265,378.0,1835.0,98.6301369863014,553.0,72.1518987341772,26.2206148282098
Saric,1995,,,2287.0,,551.0,,
Saric,2000,6.1,503.0,2257.0,93.8305084745763,596.0,,
Saric,2005,6.8,525.0,2486.0,,625.0,,
Saric,2010,7.0,651.0,2703.0,94.89,708.0,,
Saric,2015,7.14695,,,95.807314897413,461.0,,4.7722343
Saric,2020,7.82154659616656,465.0,2058.0,95.8498023715415,635.0,70.1587301587302,7.3015873015873
Soyopa,1995,,,1931.0,,473.0,,
Soyopa,2000,6.1,386.0,1649.0,92.9936305732484,453.0,,
Soyopa,2005,6.1,266.0,1209.0,,371.0,,
Soyopa,2010,6.56,202.0,1284.0,92.63,430.0,,
Soyopa,2015,7.0037593,,,92.9971988795518,463.0,,2.8077754
Soyopa,2020,7.40171755725191,218.0,1368.0,93.9885496183206,478.0,63.5983263598326,48.326359832636
Suaqui Grande,1995,,,1313.0,,270.0,,
Suaqui Grande,2000,6.5,328.0,1175.0,97.0996216897856,272.0,,
Suaqui Grande,2005,6.4,273.0,1102.0,,286.0,,
Suaqui Grande,2010,6.76,249.0,1121.0,93.88,332.0,,
Suaqui Grande,2015,7.3313253,,,96.2785114045618,335.0,,10.746269
Suaqui Grande,2020,7.59977064220184,241.0,1114.0,96.2199312714777,352.0,53.8461538461538,21.9373219373219
Tepache,1995,,,1611.0,,407.0,,
Tepache,2000,6.6,371.0,1539.0,96.5022421524664,420.0,,
Tepache,2005,6.7,211.0,1184.0,,371.0,,
Tepache,2010,7.11,267.0,1365.0,95.69,421.0,,
Tepache,2015,7.7051961,,,95.9076600209863,405.0,,26.485149
Tepache,2020,8.19479166666667,233.0,1178.0,97.1875,398.0,74.0554156171285,51.3853904282116
Total Sonora,1995,,,2085536.0,,474638.0,,
Total Sonora,2000,8.2,613724.0,2216969.0,95.4962930175943,529937.0,,
Total Sonora,2005,8.9,679929.0,2394861.0,,614595.0,,
Total Sonora,2010,9.42,743126.0,2662480.0,96.25,712108.0,,
Total Sonora,2015,10.0014293654817,,2874391.0,96.6749699434904,814820.0,,42.098805
Total Sonora,2020,10.4031969176912,757636.0,2944840.0,97.7650581444623,876333.0,64.4089662957587,60.6755259103714
Total Sonora,1910,,,265383.0,,,,
Total Sonora,1921,,,275127.0,,,,
Total Sonora,1930,,,316271.0,,,,
Total Sonora,1940,,,364176.0,,,,
Total Sonora,1950,,,510607.0,,,,
Total Sonora,1960,,,783378.0,,,,
Total Sonora,1970,,,1098720.0,,,,
Total Sonora,1980,,,1513731.0,,,,
Total Sonora,1990,,,1823606.0,,382914.0,,
Trincheras,1995,,,1900.0,,481.0,,
Trincheras,2000,5.9,375.0,1756.0,93.6619718309859,468.0,,
Trincheras,2005,6.3,364.0,1670.0,,452.0,,
Trincheras,2010,6.9,381.0,1731.0,94.04,481.0,,
Trincheras,2015,7.2312925,,,94.6925021061499,500.0,,13.279678
Trincheras,2020,7.72736030828516,268.0,1381.0,95.9576515880654,481.0,60.377358490566,13.6268343815514
Tubutama,1995,,,1893.0,,462.0,,
Tubutama,2000,5.5,409.0,1798.0,93.984962406015,470.0,,
Tubutama,2005,6.5,368.0,1751.0,,457.0,,
Tubutama,2010,7.09,404.0,1735.0,95.4,511.0,,
Tubutama,2015,6.5581127,,,94.5205479452054,361.0,,3.601108
Tubutama,2020,7.70210896309315,308.0,1473.0,95.8916083916084,487.0,64.8870636550308,5.95482546201232
Ures,1995,,,10206.0,,2399.0,,
Ures,2000,7.0,2366.0,9565.0,95.2146690518784,2573.0,,
Ures,2005,7.6,2155.0,8420.0,,2449.0,,
Ures,2010,8.21,2378.0,9185.0,95.48,2740.0,,
Ures,2015,8.4760712,,,95.740008783487,2797.0,,20.837809
Ures,2020,9.07352941176471,1737.0,8548.0,97.1632237416352,2944.0,65.0631183896281,39.3039918116684
Villa Hidalgo,1995,,,1955.0,,499.0,,
Villa Hidalgo,2000,6.4,448.0,1986.0,95.1763858891289,537.0,,
Villa Hidalgo,2005,6.8,304.0,1565.0,,476.0,,
Villa Hidalgo,2010,7.26,371.0,1738.0,95.64,537.0,,
Villa Hidalgo,2015,7.8353344,,,94.9787234042553,545.0,,33.027523
Villa Hidalgo,2020,8.08424908424908,304.0,1429.0,96.800731261426,494.0,68.6234817813765,33.8056680161943
Villa Pesqueira,1995,,,1701.0,,439.0,,
Villa Pesqueira,2000,6.4,410.0,1590.0,94.1395348837209,443.0,,
Villa Pesqueira,2005,6.8,336.0,1374.0,,413.0,,
Villa Pesqueira,2010,7.72,313.0,1254.0,97.49,390.0,,
Villa Pesqueira,2015,7.5651237,,,95.2789699570815,389.0,,11.568123
Villa Pesqueira,2020,8.35307781649245,196.0,1043.0,97.3317865429234,379.0,70.1333333333333,23.4666666666667
Yecora,1995,,,6114.0,,1365.0,,
Yecora,2000,5.1,1434.0,6069.0,86.7853560682046,1506.0,,
Yecora,2005,5.7,1432.0,6089.0,,1601.0,,
Yecora,2010,6.37,1460.0,6046.0,89.01,1660.0,,
Yecora,2015,6.8027999,,,90.2450744834214,1708.0,,9.1334895
Yecora,2020,7.09443168771527,988.0,4793.0,90.8960778700258,1523.0,47.4030243261013,19.6581196581197
